# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6821
#@/user_id	d7bca733-c966-4bb9-82c2-6797267e84e9
a 	啊	c=11 d=2.40186 t=6639
guo duo 	過多	c=1 d=1 t=5477
guo hou 	過後	c=1 d=0.103483 t=3640
guo jia 	國家	c=3 d=0.108566 t=1521
guo jia xiang yao fa zhan 	國家想要發展	c=1 d=1 t=1522
guo lai 	過來	c=1 d=1 t=6536
guo le 	過了	c=0 d=0.1 t=4198
guo nei 	國內	c=0 d=0.1 t=5630
guo nei wai 	國內外	c=1 d=1 t=5807
guo nei zen me 	國內怎麼	c=1 d=1 t=5631
guo qing 	國情	c=1 d=1 t=1556
guo wai 	國外	c=0 d=0.1 t=3753
guo wai shou ji hao 	國外手機號	c=1 d=1 t=3754
ha er bin 	哈爾濱	c=3 d=1 t=5665
ha er bin gong cheng da xue 	哈尔滨工程大学	c=2 d=1 t=6410
ha er bin shi 	哈爾濱市	c=1 d=1 t=6412
ha fu man 	哈夫曼	c=1 d=1 t=5271
ha fu man bian ma 	哈夫曼编码	c=2 d=1.89137 t=5283
ha fu man shu 	哈夫曼树	c=9 d=8.11258 t=5280
ha gong cheng 	哈工程	c=1 d=1 t=5254
ha ha ha 	哈哈哈	c=1 d=1 t=3903
hai 	還	c=3 d=0.393373 t=4402
hai bao kuo 	還包括	c=1 d=1 t=2770
hai bu cuo 	還不錯	c=1 d=1 t=3812
hai bu neng 	還不能	c=0 d=0.1 t=706
hai bu neng shan 	還不能刪	c=1 d=1 t=707
hai cun zai ma 	還存在嗎	c=1 d=1 t=1769
hai da 	還大	c=0 d=0.1 t=1771
hai dei 	還得	c=1 d=1 t=4175
hai hao 	還好	c=1 d=1 t=3649
hai ke yi 	還可以	c=1 d=1 t=6666
hai mei 	還沒	c=0 d=0.1 t=4283
hai mei ru keng 	還沒入坑	c=1 d=1 t=4284
hai mei xie wan 	還沒寫完	c=1 d=1 t=4403
hai mei zhi sheng 	還沒吱聲	c=1 d=1 t=1515
hai neng 	還能	c=0 d=0.100525 t=6574
hai neng kai ji ma 	還能開機嗎	c=1 d=1 t=1781
hai neng shi sha 	還能是啥	c=1 d=1 t=840
hai neng yong 	還能用	c=1 d=1 t=6575
hai neng zen me you hua 	還能怎麼優化	c=1 d=1 t=855
hai shi 	還是	c=7 d=1.05578 t=6785
hai yao 	還要	c=1 d=0.285444 t=4089
hai yao shi jian 	還要時間	c=1 d=1 t=4090
hai you 	還有	c=3 d=0.107446 t=3697
hai you dong xi 	還有東西	c=1 d=1 t=834
hai you zhe shi 	還有這事	c=1 d=1 t=3698
hai zai 	還在	c=2 d=1 t=6629
han chu lai 	喊出來	c=2 d=1.99005 t=3855
han shu 	函數	c=4 d=1.9638 t=5187
han yi 	含義	c=1 d=1 t=6528
han yu 	韓語	c=2 d=1.99501 t=6321
hang 	行	c=5 d=2.83713 t=6145
hang he 	行和	c=1 d=1 t=4729
hao 	好	c=4 d=0.100237 t=6786
hao 	號	c=2 d=1.00001 t=6739
hao ba 	好吧	c=1 d=1 t=3696
hao bu rong yi 	好不容易	c=1 d=1 t=3746
hao de 	好的	c=4 d=1.07268 t=3832
hao dong xi 	好東西	c=0 d=0.1 t=777
hao duo ci 	好多次	c=1 d=1 t=1868
hao ei 	好誒	c=1 d=1 t=1363
hao jia huo 	好傢伙	c=5 d=1.00054 t=5882
hao kan 	好看	c=1 d=1 t=2192
hao ke ai 	好可愛	c=1 d=1 t=6450
hao ke ai a 	好可愛啊	c=1 d=1 t=3523
hao le 	好了	c=0 d=0.145286 t=4416
hao lei a 	好累啊	c=1 d=1 t=2869
hao lou 	號樓	c=1 d=1 t=2143
hao meng 	好夢	c=1 d=1 t=1618
hao o 	好哦	c=1 d=1 t=5455
hao shen fen 	好身份	c=1 d=1 t=5578
hao wan 	好玩	c=1 d=1 t=3666
hao xi huan 	好喜歡	c=0 d=0.1 t=3923
hao xi huan hao xi huan ni 	好喜歡好喜歡你	c=1 d=1 t=3924
hao xiang 	好像	c=1 d=1 t=3978
hao xiang ni 	好想你	c=1 d=1 t=3831
hao ya 	好呀	c=1 d=1 t=3866
he 	和	c=76 d=1.6063 t=6762
he 	核	c=1 d=1 t=2247
he bing 	合併	c=1 d=1 t=4511
he fa 	合法	c=1 d=1 t=6300
he ku 	何苦	c=1 d=1 t=4097
he li 	合理	c=0 d=0.1 t=3446
he li de 	合理的	c=1 d=1 t=4361
he ni 	和你	c=1 d=1 t=6069
he niu 	和牛	c=12 d=10.9132 t=6055
he ping 	和平	c=0 d=0.1 t=454
he ping yu wen ding 	和平與穩定	c=1 d=1 t=455
he ren lei 	和人類	c=1 d=1 t=3945
he shi 	合適	c=0 d=0.1 t=3929
he wo 	和我	c=1 d=0.11395 t=3974
he wo dui hua 	和我對話	c=1 d=1 t=2835
he zhe 	合着	c=1 d=1 t=2094
he zhong 	何種	c=1 d=1 t=6335
he zuo 	合作	c=1 d=1 t=487
hei an 	黑暗	c=0 d=0.1 t=5407
hei an jiang lin 	黑暗降臨	c=1 d=1 t=5408
hei hei 	嘿嘿	c=1 d=1 t=3836
hei long jiang sheng 	黑龍江省	c=1 d=1 t=6411
hen 	很	c=1 d=0.102244 t=4839
hen cheng gong 	很成功	c=1 d=1 t=1148
hen da cheng du shang 	很大程度上	c=1 d=1 t=186
hen da de 	很大的	c=1 d=1 t=3707
hen duo 	很多	c=1 d=1.00978 t=3730
hen duo zhi qian 	很多之前	c=1 d=1 t=3266
hen gao xing 	很高興	c=1 d=1 t=2732
hen hao 	很好	c=1 d=1 t=2886
hen hao ting 	很好聽	c=0 d=0.1 t=3690
hen he shi de 	很合適的	c=1 d=1 t=3930
hen hen de 	狠狠地	c=2 d=1.94176 t=3039
hen ji 	痕跡	c=1 d=1 t=6171
hen jiu 	很久	c=0 d=0.1 t=3156
hen jiu zhi hou le 	很久之後了	c=1 d=1 t=3157
hen kai xin 	很開心	c=0 d=0.1 t=3898
hen ke neng 	很可能	c=1 d=0.65377 t=130
hen kuai 	很快	c=2 d=1.15107 t=1193
hen shao you 	很少有	c=1 d=1 t=3178
hen shun li 	很順利	c=3 d=1.12779 t=2534
hen xiang 	很像	c=1 d=1 t=3189
hong 	宏	c=0 d=0.1 t=2244
hong gong neng kuai 	宏功能块	c=1 d=1 t=2245
hong mi 	红米	c=1 d=1 t=5543
hong xin 	紅心	c=5 d=4.75367 t=1656
hong xin de 	紅心的	c=2 d=1.97531 t=1639
hou 	後	c=1 d=0.100775 t=4116
hou ban 	後半	c=0 d=0.1 t=5052
hou ban bu fen 	後半部分	c=1 d=1 t=5053
hou de 	後的	c=1 d=1 t=769
hou lai 	後來	c=1 d=1 t=4178
hou liang ge 	後兩個	c=1 d=1 t=3145
hou qi 	後期	c=2 d=1.00355 t=3815
hou tai 	後臺	c=1 d=1 t=5466
hu 	呼	c=2 d=1 t=6808
hu cheng 	呼稱	c=1 d=1 t=6816
hu die 	蝴蝶	c=0 d=0.1 t=384
hu die lei 	蝴蝶雷	c=1 d=1 t=385
hu dong 	互動	c=0 d=0.1 t=2718
hu dong de 	互動的	c=1 d=1 t=2719
hu han 	呼喊	c=1 d=1 t=3053
hu lian wang 	互聯網	c=1 d=1 t=5978
hu lian wang shang 	互聯網上	c=1 d=1 t=2754
hu xiang 	互相	c=0 d=0.1 t=3179
hu xiang jiao liu 	互相交流	c=1 d=1 t=3180
hua 	話	c=1 d=0.100534 t=5590
hua dong 	滑動	c=0 d=0.1 t=5777
hua dong kai guan 	滑動開關	c=1 d=1 t=5778
hua ti 	話題	c=1 d=1 t=2793
huai 	壞	c=1 d=1 t=4168
huai le 	壞了	c=1 d=1 t=5918
huai shi 	壞事	c=0 d=0.1 t=5391
huai shi le 	壞事了	c=1 d=1 t=5392
huan 	幻	c=1 d=1 t=5496
huan 	換	c=2 d=0.1 t=5725
huan cheng 	換成	c=1 d=1 t=6701
huan dian chi 	換電池	c=1 d=1 t=5726
huan ge 	換個	c=1 d=1 t=2792
huan guo 	換過	c=0 d=0.1 t=5924
huan hang 	換行	c=1 d=1 t=1540
huan huan 	緩緩	c=1 d=1 t=6551
huan jing 	環境	c=2 d=0.100006 t=3282
huan le 	換了	c=1 d=0.117335 t=5925
huan wan 	換完	c=1 d=1 t=5928
huan ying 	歡迎	c=1 d=1 t=6290
huan ying lai dao 	歡迎來到	c=1 d=1 t=1388
huan yuan 	還原	c=1 d=1 t=2689
hui 	回	c=0 d=0.1 t=4126
hui 	會	c=11 d=2.43417 t=5945
hui ba 	會把	c=1 d=1 t=2908
hui bao 	彙報	c=0 d=0.1 t=982
hui bao le 	彙報了	c=1 d=1 t=983
hui bian 	彙編	c=11 d=5.27095 t=6259
hui bian dai ma 	汇编代码	c=1 d=1 t=6191
hui bian yu yan 	彙編語言	c=1 d=1 t=5698
hui che 	回車	c=1 d=1 t=869
hui da 	回答	c=2 d=1.04695 t=3915
hui da li 	回答裏	c=1 d=1 t=3264
hui da ming bai 	回答明白	c=1 d=1 t=3612
hui da wen ti 	回答問題	c=1 d=1 t=3464
hui da wo 	回答我	c=1 d=1 t=5146
hui da yi xie 	回答一些	c=1 d=1 t=2740
hui fu 	恢復	c=1 d=1 t=6617
hui guo tou 	回過頭	c=1 d=1 t=6577
hui jiang 	會將	c=1 d=1 t=2449
hui jin ru 	會進入	c=1 d=1 t=948
hui jue de 	會覺得	c=1 d=1 t=5669
hui lai 	回來	c=0 d=0.1 t=646
hui lai le 	回來了	c=1 d=1 t=2729
hui qu 	回去	c=3 d=1.00001 t=4323
hui shi 	會是	c=0 d=0.1 t=3493
hui shou 	回收	c=2 d=2.0792 t=4074
hui shou she me 	回收什麼	c=1 d=1 t=4073
hui shou zhan 	回收站	c=5 d=4.35634 t=4181
hui shou zhan le 	回收站了	c=1 d=1 t=4182
hui shou zhan li 	回收站裏	c=2 d=1.97045 t=4177
hui su 	回溯	c=2 d=1.99501 t=5316
hui su fa 	回溯法	c=2 d=1.82696 t=5253
hui xiang 	會向	c=0 d=0.1 t=3412
hui xiang ni 	會向你	c=1 d=1 t=3413
hui yi 	會議	c=1 d=1 t=1519
hui yu dao 	會遇到	c=1 d=1 t=3153
hui zhi 	繪製	c=1 d=1 t=2500
huo 	或	c=3 d=1.00428 t=4556
huo 	火	c=0 d=0.1 t=3641
huo da huo xiao 	或大或小	c=1 d=1 t=141
huo dong 	活動	c=2 d=2.03476 t=5357
huo dong an pai 	活動安排	c=4 d=3.33814 t=5361
huo ge wo ci 	霍格沃茨	c=0 d=0.1 t=5584
huo ge wo ci zhi yi 	霍格沃茨之遺	c=1 d=1 t=5585
huo zhe 	或者	c=4 d=1.00002 t=4291
huo zhe shuo 	或者說	c=1 d=1 t=4380
ji 	及	c=4 d=3.70178 t=2246
ji 	寄	c=1 d=1 t=5648
ji 	機	c=1 d=0.355381 t=2483
ji 	級	c=0 d=0.1 t=4373
ji 	記	c=0 d=0.1 t=2880
ji ben 	基本	c=1 d=0.733872 t=2575
ji ben biao 	基本表	c=2 d=1.956 t=1691
ji ben fang fa 	基本方法	c=1 d=1 t=1728
ji ben mo xing ji 	基本模型機	c=4 d=3.40571 t=2650
ji cun qi 	寄存器	c=1 d=1 t=2604
ji cuo 	記錯	c=0 d=0.1 t=3682
ji de 	記得	c=0 d=0.1 t=3864
ji ge 	幾個	c=2 d=1.00001 t=6819
ji gou 	機構	c=0 d=0.1 t=1823
ji he 	集合	c=0 d=0.1 t=1941
ji he cha xun 	集合查詢	c=1 d=1 t=1942
ji hua 	計劃	c=3 d=1.99501 t=5661
ji huo 	激活	c=1 d=1 t=5889
ji huo ma 	激活碼	c=1 d=1 t=1383
ji ke 	即可	c=1 d=1 t=1073
ji le 	寄了	c=1 d=1 t=2952
ji li 	極力	c=1 d=1 t=457
ji lu 	記錄	c=0 d=0.100001 t=4936
ji lu le 	記錄了	c=1 d=1 t=2701
ji qi 	及其	c=8 d=1.09703 t=5297
ji ri ji 	記日記	c=3 d=2.82335 t=2901
ji shi 	即使	c=2 d=1.16122 t=3568
ji shi 	記事	c=2 d=1 t=4835
ji shi qi 	計時器	c=2 d=1.44486 t=2572
ji shou ge 	幾首歌	c=1 d=1 t=3059
ji shu 	技術	c=1 d=1.09704 t=3163
ji shu 	計數	c=2 d=1.47237 t=2460
ji shu qi 	計數器	c=5 d=3.03203 t=2574
ji suan 	計算	c=1 d=1.00001 t=4470
ji suan ji 	計算機	c=0 d=0.1 t=2598
ji suan ji bu jian 	計算機部件	c=1 d=1 t=2599
ji suan ji cheng xu 	计算机程序	c=1 d=1 t=3509
ji suan le 	計算了	c=1 d=1 t=2491
ji suan si wei 	计算思维	c=2 d=1.96079 t=1485
ji wei 	即爲	c=1 d=1 t=2299
ji xia 	記下	c=0 d=0.1 t=3530
ji xu 	繼續	c=19 d=8.46632 t=5252
ji xu jin xing 	繼續進行	c=1 d=1 t=2461
ji xu xiang mei guo 	繼續向美國	c=1 d=1 t=230
ji yan 	基岩	c=0 d=0.1 t=5527
ji yan ban 	基岩版	c=1 d=1 t=5528
ji yu 	基於	c=5 d=1.57058 t=6074
ji zai 	記在	c=0 d=0.1 t=2926
ji zai le 	記在了	c=1 d=1 t=2927
ji zhu 	記住	c=0 d=0.1 t=6036
ji zhu zhe yi dian 	記住這一點	c=1 d=1 t=6037
ji zhun 	基準	c=1 d=1 t=4615
jia 	加	c=0 d=0.1 t=636
jia 	夾	c=1 d=1 t=3368
jia ding 	假定	c=0 d=0.1 t=3435
jia ding de 	假定的	c=1 d=1 t=3436
jia fa 	加法	c=2 d=1.91393 t=2494
jia ge 	價格	c=2 d=1.05004 t=5897
jia gou 	架構	c=1 d=1 t=6356
jia ju 	加劇	c=1 d=1.07711 t=421
jia ju le 	加劇了	c=1 d=1 t=370
jia le 	加了	c=1 d=1 t=804
jia le yi dui 	加了一堆	c=1 d=1 t=637
jia li 	家裏	c=1 d=1 t=3281
jia li de 	家裏的	c=1 d=1 t=3298
jia ren 	家人	c=1 d=1 t=6737
jia ru 	加入	c=2 d=1 t=4223
jia shang 	加上	c=1 d=1 t=4697
jia she 	假設	c=1 d=0.152676 t=4830
jia she wo xian zai 	假設我現在	c=1 d=1 t=4831
jia su du 	加速度	c=1 d=1 t=675
jia su qi 	加速器	c=4 d=4.06626 t=5416
jia ting ying yuan 	家庭影院	c=1 d=1 t=5634
jia wen 	假文	c=0 d=0.1 t=6303
jia yuan 	家園	c=0 d=0.1 t=2141
jia zai 	加載	c=1 d=0.595298 t=2486
jia zai de 	加載的	c=1 d=1 t=2472
jia zai le 	加載了	c=1 d=1 t=2487
jia zhi 	價值	c=1 d=0.630827 t=5301
jian 	兼	c=1 d=0.985112 t=6821
jian 	鍵	c=2 d=1 t=6668
jian 	間	c=2 d=1.69073 t=6549
jian ce 	檢測	c=1 d=0.137817 t=1823
jian ce ji gou 	檢測機構	c=1 d=1 t=1824
jian cha 	檢查	c=1 d=1 t=273
jian chi 	堅持	c=3 d=2.79684 t=1608
jian dan 	簡單	c=2 d=1.00008 t=6683
jian dao 	見到	c=0 d=0.1 t=2732
jian dao nin 	見到您	c=1 d=1 t=2733
jian ding de 	堅定的	c=1 d=1 t=1590
jian kang 	健康	c=0 d=0.1 t=5507
jian kang ma 	健康码	c=1 d=1 t=1815
jian li 	建立	c=5 d=1.00008 t=6297
jian li shi tu 	建立視圖	c=1 d=1 t=1991
jian pan 	鍵盤	c=3 d=1.05004 t=6101
jian she 	建設	c=1 d=1 t=1611
jian yi 	建一	c=0 d=0.1 t=4683
jian yi 	建議	c=1 d=1 t=4057
jian yi ge 	建一個	c=2 d=1.72253 t=4749
jiang 	將	c=17 d=1.62764 t=6607
jiang 	醬	c=1 d=1.056 t=2196
jiang ge 	講個	c=1 d=1 t=5974
jiang hui 	將會	c=1 d=1.09608 t=5334
jiang hui dai ling 	將會帶領	c=1 d=1 t=1496
jiang hui jin xing 	將會進行	c=1 d=1 t=5327
jiang lin 	降臨	c=0 d=0.1 t=5407
jiang lin zhe 	降临者	c=1 d=1 t=2707
jiang qi 	將其	c=1 d=1 t=2372
jiang shan 	江杉	c=2 d=1.24051 t=1757
jiang shi wang luo 	僵屍網絡	c=2 d=1.98511 t=516
jiang shu 	將數	c=1 d=1 t=2314
jiang shu ru de 	將輸入的	c=1 d=1 t=1089
jiang shu zu 	將數組	c=1 d=1 t=4504
jiao 	交	c=1 d=1 t=2123
jiao 	叫	c=2 d=1.0003 t=4837
jiao 	教	c=1 d=1 t=5379
jiao ben 	腳本	c=2 d=1 t=4844
jiao cai 	教材	c=1 d=1 t=1948
jiao chuan 	嬌喘	c=1 d=1 t=3014
jiao dou shi 	角鬥士	c=0 d=0.1 t=2038
jiao jin 	絞盡	c=1 d=1 t=910
jiao liu 	交流	c=0 d=0.1 t=3179
jiao ruo 	較弱	c=0 d=0.1 t=6811
jiao ruo de 	較弱的	c=2 d=1.98511 t=6815
jiao tan 	交談	c=0 d=0.1 t=3199
jiao wo 	叫我	c=1 d=1 t=3850
jiao wo 	教我	c=1 d=0.783861 t=3383
jiao xue 	教學	c=1 d=1 t=6454
jiao xun 	教訓	c=1 d=1 t=499
jiao yan he 	校验和	c=1 d=1 t=5109
jiao yu 	教育	c=1 d=1.09851 t=5643
jiao yu yu 	教育與	c=2 d=1.99005 t=2213
jiao zuo 	叫做	c=2 d=0.111294 t=4417
jie 	解	c=0 d=0.1 t=5317
jie cheng 	階乘	c=15 d=9.7308 t=4584
jie ci 	介詞	c=1 d=1 t=6763
jie de 	解得	c=1 d=1 t=1061
jie ge 	接個	c=1 d=1 t=3624
jie gou 	結構	c=1 d=1 t=1479
jie gui 	接軌	c=0 d=0.1 t=1600
jie gui de 	接軌的	c=1 d=1 t=1601
jie guo 	接過	c=1 d=1 t=6464
jie guo 	結果	c=22 d=1.39138 t=5712
jie jie 	姐姐	c=1 d=1 t=2728
jie jue 	解決	c=2 d=1.00368 t=6337
jie jue fang an 	解決方案	c=0 d=0.1 t=5862
jie jue fang an de hua 	解決方案的話	c=1 d=1 t=5863
jie jue fang fa 	解決方法	c=1 d=1 t=4174
jie ma 	解碼	c=1 d=1 t=5274
jie mian 	界面	c=1 d=1 t=4881
jie mu 	節目	c=0 d=0.1 t=5506
jie shao yi xia 	介紹一下	c=0 d=0.1 t=2733
jie shi 	解釋	c=2 d=1.01584 t=5249
jie shou 	接受	c=2 d=1.00745 t=4580
jie shou 	接收	c=1 d=1 t=1337
jie shu 	結束	c=0 d=0.1 t=481
jie shu zhan zheng 	結束戰爭	c=1 d=1 t=482
jie suan 	結算	c=0 d=0.199005 t=247
jie suan ling 	結算令	c=1 d=1 t=248
jie tong 	接通	c=1 d=1 t=6614
jie xia lai 	接下來	c=5 d=1.63293 t=5144
jie xia lai fa sheng de 	接下來發生的	c=1 d=1 t=2968
jie xia lai wo gai 	接下來我該	c=1 d=1 t=3086
jie xian 	接線	c=1 d=1 t=6590
jie zai 	接在	c=0 d=0.1 t=6590
jie zai le 	接在了	c=1 d=1 t=6591
jie zhi 	截止	c=1 d=1 t=5075
jie zhi dao 	截止到	c=1 d=1 t=5983
jin bu 	進步	c=2 d=1.8794 t=1549
jin de 	進得	c=0 d=0.1 t=4232
jin de qun 	進得羣	c=1 d=1 t=4233
jin du 	進度	c=1 d=1 t=4897
jin kou liang 	進口量	c=0 d=0.1 t=5518
jin qu 	進去	c=1 d=0.121762 t=4752
jin ru 	進入	c=0 d=0.1 t=947
jin tian 	今天	c=7 d=1.00086 t=5393
jin xing 	進行	c=23 d=7.21439 t=6390
jin xing de 	進行的	c=3 d=1.88801 t=2568
jin xing ge zhong cha xun 	進行各種查詢	c=1 d=1 t=1952
jin xing le 	進行了	c=2 d=1.00098 t=1721
jin xing shi yan 	進行實驗	c=1 d=1 t=1853
jin xing wan shi yan 	進行完實驗	c=1 d=1 t=1871
jin xing zhong 	進行中	c=0 d=0.1 t=1704
jin xu 	僅需	c=1 d=1 t=1070
jin yi bu 	進一步	c=0 d=0.1 t=1283
jin yong 	禁用	c=1 d=1 t=382
jin you xi 	進遊戲	c=1 d=1 t=1369
jin zao 	儘早	c=1 d=1 t=481
jin zhi 	禁止	c=1 d=1 t=263
jin zhi 	進制	c=1 d=1 t=6225
jing 	徑	c=0 d=0.1 t=5191
jing chang 	經常	c=0 d=0.1 t=3132
jing gao 	警告	c=1 d=1 t=3770
jing guo 	經過	c=0 d=0.100288 t=1918
jing guo ji suan de 	經過計算的	c=1 d=1 t=1919
jing ji 	經濟	c=1 d=1.04747 t=314
jing ji shang 	經濟上	c=0 d=0.0847894 t=130
jing ji shang de 	經濟上的	c=3 d=2.25013 t=242
jing ji ying xiang 	經濟影響	c=1 d=1 t=166
jing li 	經理	c=1 d=1 t=4098
jing long a 	景龍啊	c=1 d=0.913931 t=6821
jing xiang zhan 	镜像站	c=2 d=1.956 t=3774
jing yan 	經驗	c=2 d=1.9709 t=1577
jing yan yu 	經驗與	c=1 d=1 t=498
jing yin 	靜音	c=1 d=1 t=5639
jiu 	就	c=6 d=0.155109 t=4778
jiu bi xu yao 	就必須要	c=1 d=1 t=1525
jiu di 	就地	c=1 d=1 t=1197
jiu dian nao 	舊電腦	c=1 d=1 t=1768
jiu du 	舊都	c=1 d=1.1 t=6251
jiu fa xian 	就發現	c=1 d=1 t=3761
jiu gao su wo 	就告訴我	c=1 d=1 t=4274
jiu he wo shi 	就和我是	c=1 d=1 t=3964
jiu hui 	就會	c=0 d=0.1 t=1537
jiu ji 	究級	c=1 d=1 t=4294
jiu ke yi 	就可以	c=1 d=1 t=3871
jiu ke yi gei ta 	就可以給他	c=1 d=1 t=2076
jiu mai le 	就買了	c=1 d=1 t=2178
jiu mei le 	就沒了	c=2 d=1 t=6821
jiu mei you zheng ge 	就沒有整個	c=1 d=1 t=1531
jiu ming 	救命	c=1 d=1 t=4310
jiu pa 	就怕	c=1 d=1 t=3813
jiu shi 	九十	c=0 d=0.1 t=4373
jiu shi 	就是	c=7 d=1.18655 t=5458
jiu shi cuo de 	就是錯的	c=1 d=1 t=4779
jiu shi gei ta 	就是給他	c=1 d=1 t=4129
jiu shi ji 	九十級	c=1 d=1 t=4374
jiu shi yi zhi 	就是一隻	c=1 d=1 t=3988
jiu shuo 	就說	c=2 d=1.91851 t=3574
jiu xing 	就行	c=2 d=1 t=5594
jiu you 	就有	c=1 d=0.100002 t=3264
jiu zhe ge 	就這個	c=1 d=1 t=3711
jiu zhe yang 	就這樣	c=1 d=1 t=3114
ju 	據	c=0 d=0.1 t=4046
ju bing 	句柄	c=1 d=1 t=4049
ju duo 	巨多	c=1 d=1 t=3726
ju ji 	聚集	c=1 d=1 t=1931
ju jue 	拒絕	c=1 d=1 t=4067
ju qing 	劇情	c=1 d=1 t=2671
ju ran 	居然	c=3 d=1.0002 t=5427
ju shi 	局勢	c=2 d=0.384526 t=490
ju ti 	具體	c=1 d=1 t=3311
ju you 	具有	c=1 d=1 t=6426
ju zhen 	矩陣	c=5 d=2.62458 t=4742
ju zhen lian cheng 	矩陣聯城	c=1 d=1 t=4405
ju zhen lian cheng 	矩陣連乘	c=6 d=5.41615 t=4769
ju zi 	句子	c=5 d=3.58492 t=6058
jue bu neng 	絕不能	c=1 d=1 t=1578
jue de 	覺得	c=2 d=0.1 t=5668
jue ding 	決定	c=1 d=1 t=5452
jue dui 	絕對	c=1 d=1 t=908
jue dui bu shi 	絕對不是	c=1 d=1 t=3512
jue se 	角色	c=1 d=1.06678 t=3425
jue wang 	絕望	c=2 d=1.90032 t=3002
jue xin 	決心	c=1 d=1 t=1591
jun 	均	c=1 d=1 t=2539
jun bu 	均不	c=0 d=0.1 t=5825
jun bu sheng xiao 	均不生效	c=1 d=1 t=5826
jun huo 	軍火	c=1 d=1 t=218
jun shi 	軍事	c=1 d=1.03104 t=334
jun shi shang de 	軍事上的	c=1 d=0.865022 t=130
jun shi xing dong 	軍事行動	c=4 d=1.71738 t=434
jun shi xing dong de 	軍事行動的	c=1 d=1 t=134
ka 	卡	c=2 d=1.94176 t=581
ka le 	卡了	c=1 d=1 t=5564
ka wo 	卡我	c=1 d=1 t=2681
kai 	開	c=3 d=1.00006 t=6513
kai bai 	开摆	c=2 d=1.02334 t=4479
kai fa 	開發	c=2 d=0.0980199 t=6821
kai fa huan jing 	開發環境	c=2 d=1.90937 t=2237
kai fa liu cheng 	開發流程	c=1 d=1.01393 t=2238
kai fa shi yong de 	開發使用的	c=1 d=1 t=752
kai fa yi kuan 	開發一款	c=1 d=0.985112 t=6821
kai fa zhe 	開發者	c=1 d=1 t=5493
kai guan 	開關	c=0 d=0.1 t=5777
kai ji 	開機	c=0 d=0.199501 t=1781
kai ju 	開局	c=1 d=1 t=6310
kai ni ma de 	開你媽的	c=1 d=1 t=4791
kai qi 	開啓	c=2 d=1 t=5784
kai shi 	開始	c=9 d=1.01394 t=5363
kai shi cai dan 	開始菜單	c=1 d=1 t=701
kai shi xie 	開始寫	c=1 d=1 t=4892
kai suo 	開鎖	c=1 d=1 t=6483
kai ti 	楷體	c=2 d=1.99501 t=6414
kai xin 	開心	c=1 d=0.92929 t=3900
kan 	看	c=3 d=0.101705 t=3641
kan chu 	看出	c=0 d=0.1 t=6528
kan chu lai 	看出來	c=0 d=0.1 t=5555
kan chu lai ni 	看出來你	c=1 d=1 t=5556
kan dao 	看到	c=0 d=0.1 t=4111
kan dao ge 	看到個	c=1 d=1 t=4112
kan dao le 	看到了	c=1 d=1 t=2958
kan de 	看的	c=2 d=1.00007 t=4120
kan de dong 	看得懂	c=0 d=0.1 t=2081
kan de dong ma 	看得懂嗎	c=1 d=1 t=2082
kan fa 	看法	c=3 d=0.220695 t=3570
kan jian 	看見	c=2 d=1.01734 t=1463
kan kan 	看看	c=2 d=1.00445 t=2876
kan shang qu 	看上去	c=1 d=1 t=3188
kan xiang 	看向	c=1 d=1 t=6547
kan zhe 	看着	c=1 d=1 t=6609
kan zuo 	看作	c=0 d=0.1 t=3596
kang bo 	康柏	c=1 d=1 t=5621
kao da 	拷打	c=1 d=1 t=3040
kao lv 	考慮	c=1 d=1 t=808
kao zai 	拷在	c=1 d=1 t=3025
ke 	克	c=1 d=1.08511 t=6083
ke 	課	c=3 d=0.898516 t=5421
ke ai 	可愛	c=4 d=1 t=6452
ke ai nie 	可愛捏	c=3 d=1 t=5884
ke cheng 	課程	c=5 d=3.67541 t=4967
ke cheng hao 	課程號	c=1 d=1 t=4927
ke cheng she ji 	課程設計	c=1 d=1 t=3062
ke du 	可讀	c=0 d=0.1 t=6161
ke fu 	克服	c=0 d=0.1 t=5483
ke hai xing 	可还行	c=1 d=1 t=6662
ke jian de 	可見的	c=0 d=0.0806541 t=130
ke li 	克里	c=0 d=0.1 t=1802
ke li wo te 	克里沃特	c=2 d=1.99005 t=1805
ke neng 	可能	c=2 d=1.32492 t=4381
ke neng lian 	可能連	c=1 d=1 t=4376
ke neng shi 	可能是	c=1 d=1 t=5916
ke neng you ban fa 	可能有辦法	c=1 d=1 t=2688
ke pa de 	可怕的	c=1 d=1 t=2939
ke qing 	刻晴	c=1 d=1 t=2034
ke she 	課設	c=1 d=1 t=5095
ke shi 	可是	c=2 d=1.00258 t=3967
ke yi 	可以	c=18 d=1.17024 t=6700
ke yi bang wo 	可以幫我	c=1 d=1 t=3274
ke yi chu li 	可以處理	c=1 d=1 t=1277
ke yi cong 	可以從	c=1 d=1 t=1261
ke yi fan yi cheng 	可以翻譯成	c=1 d=1 t=5056
ke yi gei wo yi ge 	可以給我一個	c=1 d=1 t=4843
ke yi he wo 	可以和我	c=1 d=1 t=3975
ke yi li jie 	可以理解	c=0 d=0.1 t=3450
ke yi li jie ma 	可以理解嗎	c=1 d=1 t=3451
ke yi ma 	可以嗎	c=1 d=1 t=3890
